"",,,Total Workers !! Estimate,Total Workers !! Margin of Error
geoid,destination_name,origin_name,b302100_e1,b302100_m1
C4300US3606336055,"Monroe County, New York","Niagara County, New York",275,+/-125
C4300US3606336063,"Niagara County, New York","Niagara County, New York","59,565","+/-1,297"
C4300US3606336065,"Oneida County, New York","Niagara County, New York",30,+/-43
C4300US3606336067,"Onondaga County, New York","Niagara County, New York",10,+/-13
C4300US3606336069,"Ontario County, New York","Niagara County, New York",50,+/-58
C4300US3606336073,"Orleans County, New York","Niagara County, New York","1,655",+/-313
C4300US3606336075,"Oswego County, New York","Niagara County, New York",35,+/-54
C4300US3606336077,"Otsego County, New York","Niagara County, New York",30,+/-36
C4300US3606336081,"Queens County, New York","Niagara County, New York",10,+/-18
C4300US3606336087,"Rockland County, New York","Niagara County, New York",10,+/-22
C4300US3606336099,"Seneca County, New York","Niagara County, New York",15,+/-27
C4300US3606336115,"Washington County, New York","Niagara County, New York",30,+/-42
C4300US3606336121,"Wyoming County, New York","Niagara County, New York",105,+/-82
C4300US3606534035,"Somerset County, New Jersey","Oneida County, New York",20,+/-20
C4300US3606534041,"Warren County, New Jersey","Oneida County, New York",15,+/-23
C4300US3606536001,"Albany County, New York","Oneida County, New York",285,+/-117
C4300US3606536005,"Bronx County, New York","Oneida County, New York",4,+/-11
C4300US3606536007,"Broome County, New York","Oneida County, New York",30,+/-24
C4300US3606536009,"Cattaraugus County, New York","Oneida County, New York",10,+/-28
C4300US3606536011,"Cayuga County, New York","Oneida County, New York",30,+/-35
C4300US3606536017,"Chenango County, New York","Oneida County, New York",400,+/-134
C4300US3606536019,"Clinton County, New York","Oneida County, New York",4,+/-6
C4300US3606536021,"Columbia County, New York","Oneida County, New York",4,+/-6
C4300US3606536023,"Cortland County, New York","Oneida County, New York",75,+/-69
C4300US3606536025,"Delaware County, New York","Oneida County, New York",4,+/-2
C4300US3606536027,"Dutchess County, New York","Oneida County, New York",25,+/-39
C4300US3606536029,"Erie County, New York","Oneida County, New York",25,+/-18
C4300US3606536031,"Essex County, New York","Oneida County, New York",4,+/-7
C4300US3606536035,"Fulton County, New York","Oneida County, New York",10,+/-18
C4300US3606536039,"Greene County, New York","Oneida County, New York",4,+/-10
C4300US3606536041,"Hamilton County, New York","Oneida County, New York",4,+/-30
C4300US3606536043,"Herkimer County, New York","Oneida County, New York","2,775",+/-519
C4300US3606536045,"Jefferson County, New York","Oneida County, New York",135,+/-60
C4300US3606536047,"Kings County, New York","Oneida County, New York",30,+/-40
C4300US3606536049,"Lewis County, New York","Oneida County, New York",345,+/-152
C4300US3606536053,"Madison County, New York","Oneida County, New York","3,225",+/-424
C4300US3606536055,"Monroe County, New York","Oneida County, New York",25,+/-19
C4300US3606536057,"Montgomery County, New York","Oneida County, New York",170,+/-92
C4300US3606536061,"New York County, New York","Oneida County, New York",20,+/-20
C4300US3606536065,"Oneida County, New York","Oneida County, New York","88,615","+/-1,662"
C4300US3606536067,"Onondaga County, New York","Oneida County, New York","2,955",+/-455
C4300US3606536071,"Orange County, New York","Oneida County, New York",4,+/-11
C4300US3606536075,"Oswego County, New York","Oneida County, New York",280,+/-119
C4300US3606536077,"Otsego County, New York","Oneida County, New York",365,+/-112
C4300US3606536083,"Rensselaer County, New York","Oneida County, New York",10,+/-13
C4300US3606536089,"St. Lawrence County, New York","Oneida County, New York",25,+/-23
C4300US3606536091,"Saratoga County, New York","Oneida County, New York",110,+/-95
C4300US3606536093,"Schenectady County, New York","Oneida County, New York",195,+/-158
C4300US3606536095,"Schoharie County, New York","Oneida County, New York",15,+/-16
C4300US3606536099,"Seneca County, New York","Oneida County, New York",45,+/-52
C4300US3606536109,"Tompkins County, New York","Oneida County, New York",45,+/-49
C4300US3606536111,"Ulster County, New York","Oneida County, New York",30,+/-28
C4300US3606536113,"Warren County, New York","Oneida County, New York",4,+/-11
C4300US3606536115,"Washington County, New York","Oneida County, New York",25,+/-39
C4300US3606536119,"Westchester County, New York","Oneida County, New York",20,+/-26
C4300US3606734007,"Camden County, New Jersey","Onondaga County, New York",25,+/-35
C4300US3606734013,"Essex County, New Jersey","Onondaga County, New York",25,+/-28
C4300US3606734023,"Middlesex County, New Jersey","Onondaga County, New York",4,+/-8
C4300US3606734027,"Morris County, New Jersey","Onondaga County, New York",4,+/-14
C4300US3606734037,"Sussex County, New Jersey","Onondaga County, New York",4,+/-3
C4300US3606734039,"Union County, New Jersey","Onondaga County, New York",20,+/-31
C4300US3606736001,"Albany County, New York","Onondaga County, New York",105,+/-60
C4300US3606736005,"Bronx County, New York","Onondaga County, New York",10,+/-15
C4300US3606736007,"Broome County, New York","Onondaga County, New York",115,+/-58
C4300US3606736011,"Cayuga County, New York","Onondaga County, New York","2,310",+/-320
C4300US3606736017,"Chenango County, New York","Onondaga County, New York",125,+/-94
C4300US3606736021,"Columbia County, New York","Onondaga County, New York",10,+/-13
C4300US3606736023,"Cortland County, New York","Onondaga County, New York","1,240",+/-213
C4300US3606736025,"Delaware County, New York","Onondaga County, New York",15,+/-15
C4300US3606736027,"Dutchess County, New York","Onondaga County, New York",15,+/-21
C4300US3606736029,"Erie County, New York","Onondaga County, New York",205,+/-99
C4300US3606736035,"Fulton County, New York","Onondaga County, New York",4,+/-7
C4300US3606736039,"Greene County, New York","Onondaga County, New York",4,+/-30
C4300US3606736043,"Herkimer County, New York","Onondaga County, New York",20,+/-20
C4300US3606736045,"Jefferson County, New York","Onondaga County, New York",215,+/-116
C4300US3606736047,"Kings County, New York","Onondaga County, New York",20,+/-22
C4300US3606736051,"Livingston County, New York","Onondaga County, New York",40,+/-50
C4300US3606736053,"Madison County, New York","Onondaga County, New York","2,535",+/-250
C4300US3606736055,"Monroe County, New York","Onondaga County, New York",305,+/-166
C4300US3606736057,"Montgomery County, New York","Onondaga County, New York",15,+/-22
C4300US3606736059,"Nassau County, New York","Onondaga County, New York",70,+/-65
C4300US3606736061,"New York County, New York","Onondaga County, New York",30,+/-29
C4300US3606736063,"Niagara County, New York","Onondaga County, New York",10,+/-20
C4300US3606736065,"Oneida County, New York","Onondaga County, New York","1,595",+/-301
C4300US3606736067,"Onondaga County, New York","Onondaga County, New York","205,490","+/-1,984"
C4300US3606736069,"Ontario County, New York","Onondaga County, New York",140,+/-71
C4300US3606736071,"Orange County, New York","Onondaga County, New York",30,+/-46
C4300US3606736073,"Orleans County, New York","Onondaga County, New York",10,+/-14
C4300US3606736075,"Oswego County, New York","Onondaga County, New York","4,170",+/-507
C4300US3606736077,"Otsego County, New York","Onondaga County, New York",45,+/-54
C4300US3606736081,"Queens County, New York","Onondaga County, New York",25,+/-24
C4300US3606736083,"Rensselaer County, New York","Onondaga County, New York",25,+/-37
C4300US3606736085,"Richmond County, New York","Onondaga County, New York",30,+/-41
C4300US3606736087,"Rockland County, New York","Onondaga County, New York",20,+/-32
C4300US3606736089,"St. Lawrence County, New York","Onondaga County, New York",55,+/-40
C4300US3606736091,"Saratoga County, New York","Onondaga County, New York",60,+/-57
C4300US3606736093,"Schenectady County, New York","Onondaga County, New York",70,+/-71
C4300US3606736097,"Schuyler County, New York","Onondaga County, New York",30,+/-33
C4300US3606736099,"Seneca County, New York","Onondaga County, New York",350,+/-105
C4300US3606736101,"Steuben County, New York","Onondaga County, New York",20,+/-23
C4300US3606736103,"Suffolk County, New York","Onondaga County, New York",40,+/-48
C4300US3606736105,"Sullivan County, New York","Onondaga County, New York",20,+/-28
C4300US3606736107,"Tioga County, New York","Onondaga County, New York",45,+/-37
C4300US3606736109,"Tompkins County, New York","Onondaga County, New York",520,+/-141
C4300US3606736111,"Ulster County, New York","Onondaga County, New York",25,+/-39
C4300US3606736117,"Wayne County, New York","Onondaga County, New York",75,+/-40
C4300US3606736119,"Westchester County, New York","Onondaga County, New York",40,+/-37
C4300US3606736121,"Wyoming County, New York","Onondaga County, New York",15,+/-23
C4300US3606736123,"Yates County, New York","Onondaga County, New York",25,+/-26
C4300US3606934013,"Essex County, New Jersey","Ontario County, New York",4,+/-11
C4300US3606934017,"Hudson County, New Jersey","Ontario County, New York",4,+/-5
C4300US3606936001,"Albany County, New York","Ontario County, New York",50,+/-32
C4300US3606936007,"Broome County, New York","Ontario County, New York",35,+/-50
C4300US3606936011,"Cayuga County, New York","Ontario County, New York",180,+/-87
C4300US3606936015,"Chemung County, New York","Ontario County, New York",15,+/-18
C4300US3606936019,"Clinton County, New York","Ontario County, New York",4,+/-8
C4300US3606936029,"Erie County, New York","Ontario County, New York",95,+/-82
C4300US3606936037,"Genesee County, New York","Ontario County, New York",150,+/-98
C4300US3606936045,"Jefferson County, New York","Ontario County, New York",10,+/-15
C4300US3606936051,"Livingston County, New York","Ontario County, New York",485,+/-127
C4300US3606936053,"Madison County, New York","Ontario County, New York",45,+/-42
C4300US3606936055,"Monroe County, New York","Ontario County, New York","13,070",+/-670
C4300US3606936057,"Montgomery County, New York","Ontario County, New York",4,+/-15
C4300US3606936059,"Nassau County, New York","Ontario County, New York",4,+/-21
C4300US3606936061,"New York County, New York","Ontario County, New York",20,+/-22
C4300US3606936063,"Niagara County, New York","Ontario County, New York",10,+/-19
C4300US3606936065,"Oneida County, New York","Ontario County, New York",4,+/-9
C4300US3606936067,"Onondaga County, New York","Ontario County, New York",300,+/-119
C4300US3606936069,"Ontario County, New York","Ontario County, New York","34,030","+/-1,044"
C4300US3606936073,"Orleans County, New York","Ontario County, New York",4,+/-11
C4300US3606936075,"Oswego County, New York","Ontario County, New York",45,+/-41
C4300US3606936097,"Schuyler County, New York","Ontario County, New York",4,+/-9
C4300US3606936099,"Seneca County, New York","Ontario County, New York","2,315",+/-367
C4300US3606936101,"Steuben County, New York","Ontario County, New York",110,+/-59
C4300US3606936103,"Suffolk County, New York","Ontario County, New York",15,+/-23
C4300US3606936109,"Tompkins County, New York","Ontario County, New York",105,+/-78
C4300US3606936117,"Wayne County, New York","Ontario County, New York","2,410",+/-302
C4300US3606936121,"Wyoming County, New York","Ontario County, New York",25,+/-26
C4300US3606936123,"Yates County, New York","Ontario County, New York","1,050",+/-207
C4300US3607134001,"Atlantic County, New Jersey","Orange County, New York",50,+/-80
C4300US3607134003,"Bergen County, New Jersey","Orange County, New York","5,670",+/-786
C4300US3607134007,"Camden County, New Jersey","Orange County, New York",4,+/-10
C4300US3607134013,"Essex County, New Jersey","Orange County, New York",350,+/-139
C4300US3607134017,"Hudson County, New Jersey","Orange County, New York",635,+/-211
C4300US3607134019,"Hunterdon County, New Jersey","Orange County, New York",25,+/-31
C4300US3607134023,"Middlesex County, New Jersey","Orange County, New York",280,+/-192
C4300US3607134025,"Monmouth County, New Jersey","Orange County, New York",75,+/-60
C4300US3607134027,"Morris County, New Jersey","Orange County, New York",910,+/-222
C4300US3607134031,"Passaic County, New Jersey","Orange County, New York",685,+/-213
C4300US3607134035,"Somerset County, New Jersey","Orange County, New York",40,+/-37
C4300US3607134037,"Sussex County, New Jersey","Orange County, New York",520,+/-190
C4300US3607134039,"Union County, New Jersey","Orange County, New York",205,+/-124
C4300US3607136001,"Albany County, New York","Orange County, New York",260,+/-148
C4300US3607136005,"Bronx County, New York","Orange County, New York","3,825",+/-536
C4300US3607136015,"Chemung County, New York","Orange County, New York",20,+/-33
